Description,Brand,ABC,annual_demand,unit_cost,EOQ,orders_per_year,avg_lead_days,safety_stock,reorder_point,total_inv_cost
Sterling Vintners CA Meritag,12147,A,1108,5.26,325,3.4,7.474934036939314,92,115,341.41
M & R Sweet Vermouth,7982,A,1103,3.95,374,2.9,7.721396731054978,74,97,295.19
Gordons London Dry,3278,A,1095,5.79,308,3.6,7.59743824336688,106,129,356.09
Estancia Cab Svgn Paso Roble,6599,A,1095,5.78,308,3.6,8.055900621118013,102,126,355.78
14 Hands Merlot Wash,42766,A,1094,5.85,306,3.6,7.642785065590313,88,111,357.77
RumChata Liqueur,5921,A,1092,14.81,192,5.7,7.618299445471349,80,103,568.73
Carpineto Dogajolo Tuscan Wh,12666,A,1088,6.7,285,3.8,8.103626943005182,140,164,381.83
Ninety+Cellars Lot 23 Malbec,14805,A,1088,5.8,306,3.6,7.424924924924925,136,158,355.26
Absolut 80 Proof,3627,A,1087,9.37,241,4.5,7.603503184713376,87,110,451.34
Bacardi 151 Proof,8358,A,1087,14.49,194,5.6,8.014778325123153,89,113,561.26
Redwood Creek Cab Svgn Cal,35664,A,1086,6.5,289,3.8,7.489878542510121,85,107,375.74
Jose Cuervo Lime Margarita,5765,A,1083,10.36,229,4.7,7.208127208480565,90,111,473.71
Franzia Chablis Old World C,6498,A,1079,9.73,235,4.6,7.560803474484256,85,107,458.23
Benziger Cab Svgn Sonoma,6974,A,1078,9.08,244,4.4,7.022123893805309,107,128,442.45
Menage a Trois Silk Soft Red,24805,A,1077,6.84,281,3.8,7.20122699386503,125,146,383.84
Smoking Loon Chard,34904,A,1076,4.68,339,3.2,8.18560606060606,130,154,317.35
Ruffino Lumina Pnt Grigio,38502,A,1075,4.57,343,3.1,7.846345514950166,92,115,313.46
Ravenswood Vntrs Bl Cab Svgn,38850,A,1068,4.65,339,3.2,7.563206577595067,57,79,315.16
Da Vinci Pnt Grigio,12216,A,1067,6.66,283,3.8,7.786299329858526,89,112,376.99
Southern Comfort,5297,A,1064,10.76,222,4.8,7.645348837209302,72,94,478.51
Alice White Chard Ausl,32968,A,1062,6.8,279,3.8,7.61101243339254,88,110,380.04
Moet & Chandon Imperial,7865,A,1061,23.97,149,7.1,7.496412263535551,104,126,713.19
Jadot Macon Villages Blanc,8628,A,1060,5.95,298,3.6,7.7400318979266345,108,130,355.16
Bols Curacao Orange,8312,A,1059,5.71,305,3.5,7.684709066305818,139,161,347.76
Grey Goose Vodka,3851,A,1058,12.02,210,5.0,7.696534234995774,95,117,504.32
R Mondavi Pnt Nr Pvt Sel,28658,A,1056,4.53,341,3.1,7.905913978494624,120,143,309.31
Jim Beam,807,A,1051,13.23,199,5.3,7.516867469879518,125,147,527.35
Smirnoff Vanilla Vodka,3821,A,1051,8.2,253,4.2,7.533088235294118,91,113,415.17
Pinnacle Vodka,3502,A,1049,8.14,254,4.1,7.4299835255354205,84,105,413.25
Courvoisier VS Cognac,4679,A,1049,8.63,247,4.2,7.614080834419817,120,142,425.51
Knob Creek Bourbon,1348,A,1046,11.84,210,5.0,7.7846481876332625,83,105,497.69
Canadian Club 1858,2122,A,1041,7.8,258,4.0,7.484742807323452,64,85,402.98
The Dreaming Tree Crush Red,16262,A,1041,7.18,269,3.9,7.501508295625943,88,109,386.64
Ch Ste Michelle Cab Svgn Col,8838,A,1039,7.71,260,4.0,7.536437246963563,79,100,400.27
Ciroc Red Berry Vodka,3042,A,1038,8.63,245,4.2,7.633103448275862,119,141,423.27
Smirnoff Watermelon Vodka,3871,A,1037,8.2,251,4.1,7.581497797356828,99,121,412.39
Castillo Silver Label Rum,4233,A,1033,7.87,256,4.0,7.765787860208461,129,151,403.23
Jameson Black Barrel,2932,A,1032,24.61,145,7.1,7.7568359375,85,107,712.71
Forefront Pine Ridge Znfdl,24369,A,1029,8.21,250,4.1,8.204152249134948,87,110,411.05
Dom de Dionysos La Deveze,14539,A,1027,10.06,226,4.5,7.352226720647773,131,152,454.57
Kim Crawford Svgn Bl Marlbro,32915,A,1027,9.99,227,4.5,7.69945945945946,87,109,452.98
Korbel Brut,8288,A,1025,7.94,254,4.0,7.377521613832853,94,115,403.45
Jose Cuervo Especial Silver,3787,A,1023,11.8,208,4.9,7.161365399534523,70,90,491.35
Johnnie Walker Black Label,2753,A,1019,44.77,107,9.5,7.430290872617854,109,130,955.21
Zinsane Znfdl Lodi,16370,A,1017,5.44,306,3.3,8.333333333333334,91,114,332.64
Woodford Reserve Bourbon,1220,A,1016,21.89,152,6.7,7.4934383202099735,78,99,666.94
Lindemans Bin 65 Chard,32263,A,1016,6.8,273,3.7,7.80501274426508,61,83,371.72
Morellino d Scansano Rsv,15035,A,1012,7.33,263,3.8,8.016194331983806,97,119,385.17
Clan MacGregor,8480,A,1010,11.19,212,4.8,7.948212083847102,81,103,475.44
Cutty Sark,2656,A,1009,19.52,161,6.3,7.159611380985427,73,93,627.63
Ketel One Vodka,3549,A,1007,17.82,168,6.0,7.523709902370991,116,137,599.08
Gentleman Jack,1545,A,1006,19.42,161,6.2,7.6400839454354665,79,100,625.08
Barefoot Merlot Cal,31494,A,1004,6.02,289,3.5,7.451020408163266,71,91,347.68
Seagrams Extra Dry Gin,3389,A,999,12.49,200,5.0,7.777525539160045,74,95,499.55
Absolut Citron,3724,A,997,12.31,201,5.0,7.444787644787644,76,96,495.44
Barefoot Bubbly Pink Moscato,16289,A,994,5.19,309,3.2,7.765873015873016,83,104,321.21
Yellow Tail Cab Svgn Ausl,36770,A,989,6.13,284,3.5,7.758019308626596,134,155,348.21
Peter Vella Chard Cal B/B,28889,A,986,10.61,216,4.6,7.69223602484472,64,85,457.42
Bonterra Mendocino Org Chard,24419,A,982,6.74,270,3.6,8.518867924528301,87,110,363.83
Bogle Cab Svgn Cal,27735,A,979,6.53,274,3.6,7.763905325443787,103,124,357.57
Clayhouse Adobe Red Paso Rbl,46764,A,979,8.21,244,4.0,7.960431654676259,94,115,400.94
Christian Bros Brandy,4563,A,977,12.14,201,4.9,7.376654632972323,69,89,487.05
Ten High,1479,A,975,9.22,230,4.2,7.4689119170984455,70,90,424.02
Three Olives Cherry Vodka,3779,A,971,9.35,228,4.3,7.3576248313090415,91,111,426.12
Drambuie,5337,A,969,20.6,153,6.3,8.031796502384738,72,93,631.85
Yellow Tail Shiraz Ausl,35414,A,969,6.13,281,3.4,7.747160012982798,142,163,344.67
Tanqueray Sterling Vodka,3456,A,964,13.27,191,5.0,7.528678304239402,85,105,505.81
Ch Macard Brdx Superieur,36523,A,964,10.34,216,4.5,7.895384615384615,92,113,446.49
Belvedere Polish Vodka,3668,A,961,34.12,119,8.1,7.479338842975206,81,101,809.81
Bacardi Gold Rum,4222,A,959,7.99,245,3.9,7.521805661820964,140,160,391.47
Capt Morgan Silver Spicd Rum,4429,A,955,17.31,166,5.8,7.392291446673706,76,95,575.0
Sobieski Vodka,3272,A,952,13.23,190,5.0,7.765288293535236,80,100,501.9
GranGala Triple Orange,5849,A,952,12.4,196,4.9,7.406652360515022,73,92,485.9
Smoking Loon Pnt Grigio Cal,44494,A,946,4.5,324,2.9,8.159582999198076,84,105,291.79
Stone Cellars Pnt Grigio,35918,A,945,6.49,270,3.5,7.594847775175644,85,105,350.23
Rumpleminze,5292,A,944,13.13,190,5.0,7.515409139213602,62,81,497.89
Benchmark Old #8 Bourbon,1281,A,942,11.19,205,4.6,7.503634475597092,66,85,459.15
Landmark Overlook Chard,31277,A,940,10.95,207,4.5,8.590551181102363,87,109,453.72
Jeffersons Bourbon,1269,A,937,19.11,157,6.0,7.64920744314266,88,108,598.43
Ronrico Gold,4291,A,936,10.39,212,4.4,7.457617411225659,65,84,441.02
Erath Pnt Nr Oregon,32108,A,934,10.31,213,4.4,7.47515923566879,79,98,438.85
B & B Liqueur Dom,5315,A,932,19.22,156,6.0,7.684729064039409,67,87,598.55
The Glenlivet 12 Yr Single,8339,A,932,30.21,124,7.5,7.741040462427746,79,99,750.41
Scoresby Rare,2894,A,931,12.94,190,4.9,7.580011229646266,65,84,490.86
Three Olives Grape Vodka,3766,A,929,9.35,223,4.2,7.3093126385809315,73,92,416.8
Svedka Strwbry Lemonad Vodka,3133,A,924,8.79,229,4.0,7.649100257069409,79,98,403.04
Robert Hall Cab Svgn,23256,A,923,9.39,222,4.2,8.0,94,114,416.34
Fleischmanns X Dry Gin,3216,A,922,7.68,245,3.8,7.599286563614744,68,87,376.32
Myers Original Dark Rum,4478,A,916,13.53,184,5.0,7.5301016419077405,72,91,497.87
The Glenlivet 12 Yr Single,8000,A,913,53.96,92,9.9,7.579472140762463,68,87,992.63
Smoking Loon Pnt Nr,38457,A,913,4.59,315,2.9,8.216776625824693,94,115,289.51
Jameson Irish Whiskey,800,A,911,24.02,138,6.6,7.407628128724673,99,117,661.55
Emmets Irish Cream,5438,A,911,7.51,246,3.7,7.537803138373752,75,94,369.91
W Hill Est Cab Svgn No Cst,20862,A,911,8.55,231,3.9,7.416793893129771,86,105,394.69
Bols Blue Curacao,8040,A,910,6.01,275,3.3,7.588628762541806,76,95,330.73
